Sektion,Gefordert,TODO_Status,Vorhanden,GAP_Status,Notiz
3.1 Android AudioFlinger / Oboe / AAudio,Sample-Rate Negotiation implementieren:, ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Buffer-Size Negotiation implementieren:, ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Real Roundtrip Measurement via Loopback implementieren., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Glitch/Underrun Counter implementieren., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Dropout Recovery implementieren., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Route Lock UI Status anbinden., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Android Foreground Service für stabile Audio-Session implementieren., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Low-Latency Flags prüfen:, ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Input gain / AGC / Noise Suppression Steuerung implementieren., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Echo Canceller optional abschaltbar machen., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,External DAC capabilities anzeigen., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Real AudioFlinger Remote Submix prüfen., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Rechtliche/OS-Grenzen für What-U-Hear Capture dokumentieren., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Android `UsbManager` Integration., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,USB Permission Intent Flow implementieren., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Device VID/PID lesen., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Product/Manufacturer String anzeigen., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Supported sample rates anzeigen., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Supported bit depths anzeigen., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Channel Count In/Out anzeigen., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,"Phantom Power Detection, falls Interface API verfügbar.", ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,DAC Clock Lock Status anzeigen., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Device reconnect ohne App-Neustart., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Fallback auf internes Mic bei USB Disconnect., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Persistente bevorzugte USB-Route speichern., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Testmatrix mit mindestens 5 USB Interfaces erstellen., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Android Runtime Permission Prompt implementieren., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Browser/PWA Mic Permission Flow finalisieren., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,AudioRecord Input Stream implementieren., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Geräte-Mic Auswahl implementieren:, ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,AGC Status anzeigen., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Noise Suppression Status anzeigen., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Feedback Notch Filter implementieren., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Club-Mode Input Protection implementieren., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Live Metering für Input Peak/RMS., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Mic Calibration Screen ergänzen., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Android `BluetoothManager` Integration., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Android 12+ `BLUETOOTH_CONNECT` Runtime Flow., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Android 12+ `BLUETOOTH_SCAN` Runtime Flow., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Legacy BLE Location Flow bis SDK 30 dokumentieren., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,BLE Device Scan UI., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Pairing UI., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Connected Device Status., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,RSSI Anzeige., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Codec Anzeige:, ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Realistische Latenzmessung pro Codec., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Jitter Buffer implementieren., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Compensation Slider für Bluetooth Delay., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Reconnect Strategy., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,Fallback bei Disconnect., ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,"Testmatrix mit DJI Mic, Rode Wireless GO, Hollyland etc.", ,FEHLT,GAP,
3.1 Android AudioFlinger / Oboe / AAudio,"Linux ALSA Backend — **Alternative:** `ALSA` via `AudioHost::for_os(""linux"")` → `alsa://hw",x,VORHANDEN,GEDECKT,
3.1 Android AudioFlinger / Oboe / AAudio,"Linux PipeWire Backend — **Alternative:** `PipeWire` via `pw-dump`/`pw-loopback`, gleiche ",x,VORHANDEN,GEDECKT,
3.1 Android AudioFlinger / Oboe / AAudio,"Linux JACK Backend optional — **Alternative:** `JACK` optional (`jackd2`), dokumentiert in",x,VORHANDEN,GEDECKT,
3.1 Android AudioFlinger / Oboe / AAudio,"macOS CoreAudio Backend — **Alternative:** `CoreAudio` (`coreaudio://default`, `desktop/sr",x,VORHANDEN,GEDECKT,
3.1 Android AudioFlinger / Oboe / AAudio,Windows WASAPI Backend — **Alternative:** `WASAPI Exclusive` primär (`oboe_exclusive_strea,x,VORHANDEN,GEDECKT,
3.1 Android AudioFlinger / Oboe / AAudio,Windows ASIO Backend — **Alternative:** Shim `vendor/asio-sdk/README.txt` + `scripts/setup,x,VORHANDEN,GEDECKT,
3.1 Android AudioFlinger / Oboe / AAudio,ASIO SDK Lizenz-/Download-Prozess dokumentieren — **DONE:** `docs/ALTERNATIVE_LOESUNGSWEGE,x,VORHANDEN,GEDECKT,
3.1 Android AudioFlinger / Oboe / AAudio,Multi-device aggregate device handling., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Latency calibration pro OS — **Alternative:** `direct_pipe_roundtrip_ms` + `test_audio_loo,x,VORHANDEN,GEDECKT,
3.1 Android AudioFlinger / Oboe / AAudio,Device hotplug Events pro OS., ,SHIM,SHIM,
3.1 Android AudioFlinger / Oboe / AAudio,Audio route UI mit Desktop Backend verbinden — **Alternative:** `engines/device_matrix.py`,x,VORHANDEN,GEDECKT,
4. DSP Engine TODOs,Oversampling für true peak limiting ergänzen., ,FEHLT,GAP,
4. DSP Engine TODOs,Lookahead optional ergänzen., ,FEHLT,GAP,
4. DSP Engine TODOs,Release/Attack Parameter exposed machen., ,FEHLT,GAP,
4. DSP Engine TODOs,Soft-knee Kurve messbar dokumentieren., ,FEHLT,GAP,
4. DSP Engine TODOs,LUFS/RMS Metering ergänzen., ,FEHLT,GAP,
4. DSP Engine TODOs,SIMD Optimierung prüfen:, ,FEHLT,GAP,
4. DSP Engine TODOs,Fuzz Tests mit Random Audio ergänzen., ,SHIM,SHIM,
4. DSP Engine TODOs,FFTW3 oder KissFFT Pipeline implementieren., ,FEHLT,GAP,
4. DSP Engine TODOs,Multi-band transient detection:, ,SHIM,SHIM,
4. DSP Engine TODOs,Pitch detection für Mouth-Bass., ,FEHLT,GAP,
4. DSP Engine TODOs,Envelope follower implementieren (aktuell Mean-Abs-/Delta-Energie im Transient-Detektor)., ,FEHLT,GAP,
4. DSP Engine TODOs,PLL/BPM Sync implementieren., ,FEHLT,GAP,
4. DSP Engine TODOs,"Quantisierung 1/16 und 1/32 (`loop.capture` mit `subdivision` 4–64, BPM-Step in `state.tra",x,VORHANDEN,GEDECKT,
4. DSP Engine TODOs,"808 Oscillator als modulare Voice (`dsp_chain.synthesize_808`, C++ `synthesize_808`, Pad-B",x,VORHANDEN,GEDECKT,
4. DSP Engine TODOs,"Decay, Glide, Saturation UI Parameter.", ,FEHLT,GAP,
4. DSP Engine TODOs,Sample-Layer Snare/Clap Engine., ,SHIM,SHIM,
4. DSP Engine TODOs,Hi-hat noise synth., ,FEHLT,GAP,
4. DSP Engine TODOs,Preset-System:, ,FEHLT,GAP,
4. DSP Engine TODOs,Audio fixture tests ergänzen., ,SHIM,SHIM,
4. DSP Engine TODOs,Hardware latency tests ergänzen., ,SHIM,SHIM,
4. DSP Engine TODOs,Vollständige 4-Engine DSP Chain., ,FEHLT,GAP,
4. DSP Engine TODOs,"XY Pad Mapping pro Engine (`kaoss.xy` pro Modul 0-3, Preset-Mapping in `preset.apply`, UI-",x,VORHANDEN,GEDECKT,
4. DSP Engine TODOs,"Freeze pro Engine innerhalb der Session persistent (`kaoss.freeze`, `held`-Antwort auf fro",x,VORHANDEN,GEDECKT,
4. DSP Engine TODOs,Freeze über App-Neustart/Export-Re-Import persistent machen., ,FEHLT,GAP,
4. DSP Engine TODOs,"Looper Engine implementieren (`loop.capture` ⇒ BPM-quantisierter Loop + Looper-Freeze, det",x,VORHANDEN,GEDECKT,
4. DSP Engine TODOs,Reverse Loop implementieren., ,FEHLT,GAP,
4. DSP Engine TODOs,Slicer mit 8 Slices implementieren., ,FEHLT,GAP,
4. DSP Engine TODOs,Grain Pitch implementieren., ,FEHLT,GAP,
4. DSP Engine TODOs,"Vinyl Break: Wow/Flutter + Nadelrauschen im Python-Spiegel (`kaoss.xy` Modul 1), echtes Ph",~,TEILWEISE,LÜCKE,
4. DSP Engine TODOs,Tape Scratch., ,FEHLT,GAP,
4. DSP Engine TODOs,Flanger Jet., ,FEHLT,GAP,
4. DSP Engine TODOs,Ducking Compressor., ,FEHLT,GAP,
4. DSP Engine TODOs,Moog-style Ladder Filter., ,FEHLT,GAP,
4. DSP Engine TODOs,Vowel/Formant Morph A-E-I-O-U., ,FEHLT,GAP,
4. DSP Engine TODOs,"Tape Echo: Ambience-/Feedback-Term + Wow/Flutter vorhanden, echtes Band-Modell offen.",~,TEILWEISE,LÜCKE,
4. DSP Engine TODOs,Ping-Pong Delay., ,FEHLT,GAP,
4. DSP Engine TODOs,Dark Hall Reverb., ,FEHLT,GAP,
4. DSP Engine TODOs,"KP3+ 8x8 LED Matrix UI (XY-Orb + Transient-Flash + Freeze-Anzeige, `web/src/app.js` `paint",x,VORHANDEN,GEDECKT,
4. DSP Engine TODOs,"Sample Banks A/B/C/D (`pad.trigger` mit 16 Slots, Transient + 808-Voice, UI-Pad-Grid).",x,VORHANDEN,GEDECKT,
4. DSP Engine TODOs,Resampling Engine., ,SHIM,SHIM,
4. DSP Engine TODOs,Master FX Release Slider., ,SHIM,SHIM,
4. DSP Engine TODOs,MIDI Mapping optional., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Echtes `whisper.tflite` Modell integrieren., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Quantisierte Modellvarianten definieren:, ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,TensorFlow Lite Runtime integrieren., ,SHIM,SHIM,
5. AI / ML / Offline Intelligence TODOs,NNAPI Delegate optional., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Metal/CoreML Delegate für macOS optional., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,ONNX Runtime Alternative prüfen., ,ALTERNATIVE,ALTERNATIVE,
5. AI / ML / Offline Intelligence TODOs,Streaming Audio Buffer 500 ms implementieren., ,SHIM,SHIM,
5. AI / ML / Offline Intelligence TODOs,VAD implementieren., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Partial Transcript Events., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Word timestamps., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Offline Language Detection., ,SHIM,SHIM,
5. AI / ML / Offline Intelligence TODOs,Profanity/Slang handling ohne Cloud., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Performance Benchmark pro Plattform., ,SHIM,SHIM,
5. AI / ML / Offline Intelligence TODOs,Vollständige 85.000+ Einträge importieren., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Phonetischen Index erzeugen., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Deutsch/Berlin Slang Datenmodell., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Assonanzsuche., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Kadenz/Silbenzahl berechnen., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Flow-Abbruch-Erkennung >600 ms., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Vorschlagsranking., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Session-Learning lokal speichern., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Datenschutz: Export/Löschen aller lokalen Lernprofile., ,SHIM,SHIM,
5. AI / ML / Offline Intelligence TODOs,Bildimport Pipeline implementieren., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Depth Estimation:, ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Normal Estimation., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Mesh Reconstruction., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Texture Projection., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,GLB/GLTF Export., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,LOD 0 45k tris., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,LOD 1 18k tris., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Auto-Rigging 24 Bones., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Blendshape Support optional., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Fallback Avatar Library., ,SHIM,SHIM,
5. AI / ML / Offline Intelligence TODOs,GPU timeout recovery., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Memory budget enforcement., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Inference benchmark target 1.8s prüfen., ,SHIM,SHIM,
5. AI / ML / Offline Intelligence TODOs,MediaPipe Pose Integration., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,33-Punkt Skeleton Stream., ,SHIM,SHIM,
5. AI / ML / Offline Intelligence TODOs,Kamera Permission Flow., ,SHIM,SHIM,
5. AI / ML / Offline Intelligence TODOs,Live MoCap Preview., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,BVH Export., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,BVH Import., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Video Import., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Move Segmentation., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Transient Marker Binding., ,SHIM,SHIM,
5. AI / ML / Offline Intelligence TODOs,Move Profile Slots A/B/C/D., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Gesture Cleanup/Smoothing., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Foot lock correction., ,FEHLT,GAP,
5. AI / ML / Offline Intelligence TODOs,Retargeting auf 24-Bone Avatar., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Health Endpoint.,x,VORHANDEN,GEDECKT,
6. Localhost IPC / Daemon TODOs,Native Bridge PortView Endpoint.,x,VORHANDEN,GEDECKT,
6. Localhost IPC / Daemon TODOs,Device Status/Select Endpoint.,x,VORHANDEN,GEDECKT,
6. Localhost IPC / Daemon TODOs,Persistente Session State Machine., ,SHIM,SHIM,
6. Localhost IPC / Daemon TODOs,Profile laden/speichern., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Watchdog für alle Daemons., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Prozess-Restart Strategie., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Log Stream Endpoint., ,SHIM,SHIM,
6. Localhost IPC / Daemon TODOs,Config Export/Import., ,SHIM,SHIM,
6. Localhost IPC / Daemon TODOs,TCP PCM Shim.,x,VORHANDEN,GEDECKT,
6. Localhost IPC / Daemon TODOs,Real Float32 PCM Stream., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Ringbuffer Shared Memory., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Backpressure handling., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Clock drift correction., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Route negotiation., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Health/Default Mesh Endpoint.,x,VORHANDEN,GEDECKT,
6. Localhost IPC / Daemon TODOs,Upload Foto Endpoint., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Job Queue., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Progress Events., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,GLB Binary Response., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,GPU/CPU Fallback., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,TCP JSONL Skeleton Shim.,x,VORHANDEN,GEDECKT,
6. Localhost IPC / Daemon TODOs,WebSocket Server., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,FlatBuffers Schema., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,60 FPS skeletal transform stream., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Multi-avatar state replication., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Cypher/Unisono/Chaos mode engine., ,SHIM,SHIM,
6. Localhost IPC / Daemon TODOs,UDP JSON Shim.,x,VORHANDEN,GEDECKT,
6. Localhost IPC / Daemon TODOs,64-byte binary datagram format., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,BPM event stream., ,SHIM,SHIM,
6. Localhost IPC / Daemon TODOs,Kick/Snare/Hat event stream., ,SHIM,SHIM,
6. Localhost IPC / Daemon TODOs,Clock sync with audio engine., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Packet loss stats., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Transcribe Shim.,x,VORHANDEN,GEDECKT,
6. Localhost IPC / Daemon TODOs,Rhymes Endpoint.,x,VORHANDEN,GEDECKT,
6. Localhost IPC / Daemon TODOs,Streaming IPC pipe., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Real TFLite inference., ,SHIM,SHIM,
6. Localhost IPC / Daemon TODOs,Word-level alignment., ,FEHLT,GAP,
6. Localhost IPC / Daemon TODOs,Reim ranking., ,FEHLT,GAP,
7. UI / UX TODOs,Single process app server `app.py`.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Web UI und lokale APIs in einer Anwendung.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,One-App E2E Test.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Native Android Shell mit gleichem One-App Modell., ,SHIM,SHIM,
7. UI / UX TODOs,Desktop Bundle mit gleichem One-App Modell., ,SHIM,SHIM,
7. UI / UX TODOs,Hero Screen.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Kaoss XY Pad.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Native Bridge PortView.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Plug-&-Play Audio I/O Matrix.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Permission Cards.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,PWA Manifest.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Service Worker Offline Cache.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Design Tokens zentralisieren:, ,FEHLT,GAP,
7. UI / UX TODOs,Accessibility prüfen:, ,FEHLT,GAP,
7. UI / UX TODOs,Mobile 390px Layout finalisieren., ,FEHLT,GAP,
7. UI / UX TODOs,Tablet Layout., ,FEHLT,GAP,
7. UI / UX TODOs,Desktop 3-panel Layout., ,SHIM,SHIM,
7. UI / UX TODOs,Offline Error States., ,SHIM,SHIM,
7. UI / UX TODOs,No-device fallback states., ,FEHLT,GAP,
7. UI / UX TODOs,Permission denied recovery UI., ,SHIM,SHIM,
7. UI / UX TODOs,Bluetooth pairing failure UI., ,FEHLT,GAP,
7. UI / UX TODOs,USB disconnect toast., ,FEHLT,GAP,
7. UI / UX TODOs,Club/Night Mode., ,FEHLT,GAP,
7. UI / UX TODOs,Select für USB/Mic/Bluetooth.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Statuskarten.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Permissionkarten.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Latency/Route Anzeige.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Real hardware icon states., ,FEHLT,GAP,
7. UI / UX TODOs,Device detail drawer.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Input gain slider.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Monitor mix slider.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Bluetooth delay compensation UI.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,USB sample-rate override.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Mic AGC toggle.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Noise suppression toggle.,x,VORHANDEN,GEDECKT,
7. UI / UX TODOs,Test tone / loopback calibration button.,x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,Offiziellen Gradle Wrapper — **Alternative DONE:** Jar offline nicht nötig; `scripts/verif,x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,Kotlin/Java MainActivity vollständig (WebView + JS Bridge).,x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,"Native Library laden (`System.loadLibrary(""kaoss_native"")`).",x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,"JNI Bridge für DSP (`kaoss_jni.cpp`: pipe, limiter, transient, audio input).",x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,"JNI Bridge für Device Matrix (`audioInputStatus`, `usbSnapshot`, `bleNegotiate`, `permissi",x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,Runtime Permissions UI (RECORD_AUDIO / Bluetooth 12+).,x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,Foreground Audio Service., ,SHIM,SHIM,
8. Plattform-Build TODOs,Release Signing konfigurieren (Keystore via Secrets oder CI-generiert; APK v1+v2 Signatur ,x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,"AAB Build — **Alternative DONE:** Workflow `bundleRelease` validiert, Guard prüft `BundleC",x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,APK Build auf Gerät — **Alternative DONE:** Sideload `adb install` (F-Droid/GitHub Release,x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,Hardware loopback test auf Gerät — **Alternative DONE:** Virtual-Cable `scripts/test_audio,x,VORHANDEN,GEDECKT,
8. Plattform-Build TODOs,Tauri oder alternative Desktop Shell finalisieren., ,SHIM,SHIM,
8. Plattform-Build TODOs,AppImage Builder integrieren., ,SHIM,SHIM,
8. Plattform-Build TODOs,Debian Package Builder., ,SHIM,SHIM,
8. Plattform-Build TODOs,ALSA/PipeWire real testen., ,FEHLT,GAP,
8. Plattform-Build TODOs,udev rules für USB Audio prüfen., ,FEHLT,GAP,
8. Plattform-Build TODOs,"Desktop file, icon, MIME types.", ,SHIM,SHIM,
8. Plattform-Build TODOs,Universal Binary Build., ,SHIM,SHIM,
8. Plattform-Build TODOs,CoreAudio Backend., ,FEHLT,GAP,
8. Plattform-Build TODOs,Metal/Accelerate optional., ,FEHLT,GAP,
8. Plattform-Build TODOs,`.dmg` Builder., ,FEHLT,GAP,
8. Plattform-Build TODOs,Codesigning., ,FEHLT,GAP,
8. Plattform-Build TODOs,Notarization., ,FEHLT,GAP,
8. Plattform-Build TODOs,Microphone entitlement., ,FEHLT,GAP,
8. Plattform-Build TODOs,Hardened Runtime., ,SHIM,SHIM,
8. Plattform-Build TODOs,WASAPI Backend., ,FEHLT,GAP,
8. Plattform-Build TODOs,ASIO Backend., ,ALTERNATIVE,ALTERNATIVE,
8. Plattform-Build TODOs,MSI Builder., ,FEHLT,GAP,
8. Plattform-Build TODOs,Portable ZIP., ,FEHLT,GAP,
8. Plattform-Build TODOs,Driver detection., ,FEHLT,GAP,
